,integrator,delta_t,error,time,n
0,dynamic step,3e-05,6.493831422038632e-07,5.17125678062439,100
1,trap,0.0003,1.0125303284702625e-07,7.14617919921875,100
2,rk4,0.003,1.5690315713356995e-10,0.4095947742462158,100
3,dynamic step,3e-05,8.034075804630447e-07,2.702687978744507,50
4,trap,0.0003,2.130923149046282e-07,3.2525060176849365,50
5,rk4,0.003,2.960784950545303e-10,0.16858911514282227,50
6,dynamic step,0.0001,1.5082187321269203e-06,4.294461011886597,20
7,trap,0.001,1.8310131130405694e-05,0.7777180671691895,20
8,rk4,0.01,9.736581008112921e-07,0.03507423400878906,20
9,dynamic step,0.0001,7.800330504847963e-07,1.0597801208496094,10
10,trap,0.001,8.314744391890727e-07,0.6504039764404297,10
11,rk4,0.01,1.2963798590170938e-08,0.03237199783325195,10
12,dynamic step,0.0001,5.824225005057748e-07,0.3966670036315918,5
13,trap,0.001,9.187271102217842e-08,0.6353070735931396,5
14,rk4,0.01,9.124436761709376e-10,0.03157210350036621,5
15,dynamic step,0.0001,7.969855276845905e-07,0.3952000141143799,2
16,trap,0.001,1.2083827916065104e-07,0.6317911148071289,2
17,rk4,0.01,1.3570830570408532e-09,0.030972003936767578,2
